Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
Reliance Industries Ltd,6/15/2018,Pankaj Kumar Shrivastava,Insider - Designated Person,Sell,50,"50,985","1,019.70"
Reliance Industries Ltd,6/16/2017,Surinder Singh Saini,Insider - Other,Sell,50,"69,500","1,390.00"
Reliance Industries Ltd,7/6/2017,Naresh Kumar Narang,Insider - Other,Sell,50,"72,303","1,446.06"
Reliance Industries Ltd,10/19/2017,Surinder Singh Saini,Insider - Other,Sell,50,"45,768",915.36
Reliance Industries Ltd,7/25/2017,Naresh Kumar Narang,Insider - Other,Sell,50,"80,500","1,610.00"
Axis Bank Ltd,3/8/2017,Maxim Pinto,Insider - Employee,Buy,20,5.85 L,"29,240.50"
Mahindra and Mahindra Ltd,10/4/2016,Mr. Sanjay Narayan Galwankar,Insider - Employee,Sell,10,"14,480","1,448.00"
Mahindra and Mahindra Ltd,1/7/2016,Sunil Chahure,Insider - Employee,Buy,10,"11,900","1,190.00"
Axis Bank Ltd,6/15/2023,MORGAN STANLEY INSTITUTIONAL FUND INC. COUNTERPOINT GLOBAL PORTFOLIO,Block,Buy,26,"25,168",968.00
Hindustan Unilever Ltd,8/3/2023,Gajendra Pal Singh,Insider - Designated Person,Buy,20,"50,780","2,539.00"
BCL Enterprises Ltd,4/20/2022,ZEEL PRADIPKUMAR SHAH,Bulk,Buy,1,4,4.65
Larsen & Toubro Ltd,7/10/2015,BHARGAVA MUKESH CMDR,Insider - Employee,Sell,12,"22,334","1,861.17"
HDFC Bank Ltd,3/25/2019,Pranesh A Rao,Insider - Employee,Sell,45,1.00 L,"2,230.00"
India Pesticides Ltd,9/15/2022,Adhiraj Swarup Agarwal,Insider - Immediate Relative,Sell,1,304,304.00
Housing Development Finance Corporation Ltd,12/13/2019,VENKATESHWARAN N,Insider - Designated Person,Sell,15,"35,401","2,360.07"
Bajaj Electricals Ltd,4/26/2022,ADARSH KUMAR SINGHAL,Insider - Designated Person,Sell,1,"1,070","1,070.00"
Apollo Tyres Limited,10/15/2018,CLASSIC AUTOTUBES LTD.,Insider - Promoter Group,Buy,5,"1,088",217.60
UNO Minda Ltd,8/17/2022,Ramneek Jain,Insider - Employee,Buy,5,"2,800",560.00
HCL Technologies Ltd,6/15/2017,Amit Roy,Insider - Employee,Sell,25,"21,035",841.40
Grasim Industries Ltd,1/9/2017,Sanjay Kumar Verma,Insider - Employee,Buy,5,"2,279",455.80
Housing Development Finance Corporation Ltd,2/2/2017,Ayon Fouzdar,Insider - Employee,Sell,14,"19,517","1,394.07"
Housing Development Finance Corporation Ltd,3/17/2017,Sudha V,Insider - Employee,Sell,14,"20,339","1,452.79"
HDFC Bank Ltd,12/23/2016,Biju Jones C,Insider - Employee,Buy,45,4.08 L,"9,066.67"
Godrej Industries Ltd,3/7/2017,R. V. Dubhashi,Insider - Employee,Sell,3,"1,437",479.00
Housing Development Finance Corporation Ltd,12/3/2018,TRIVEDI AMIT P,Insider - Employee,Sell,15,"30,255","2,017.00"
Housing Development Finance Corporation Ltd,11/29/2018,SAJIT S NAIR,Insider - Employee,Sell,15,"29,280","1,952.00"
Housing Development Finance Corporation Ltd,5/25/2018,PAULOMI BRAGANZA,Insider - Employee,Sell,15,"27,206","1,813.73"
Housing Development Finance Corporation Ltd,2/1/2019,SREENATH S,Insider - Employee,Sell,15,"29,355","1,957.00"
Housing Development Finance Corporation Ltd,12/13/2018,RAGHU SHARADHA,Insider - Designated Person,Sell,15,"29,385","1,959.00"
Housing Development Finance Corporation Ltd,5/3/2018,UTKARSH MACHHINDRA DEOKAR,Insider - Employee,Sell,15,"28,935","1,929.00"
Housing Development Finance Corporation Ltd,11/14/2018,SANJIV KUMAR SINHA,Insider - Employee,Sell,15,"27,641","1,842.73"
Housing Development Finance Corporation Ltd,12/21/2018,CHINTANKUMAR PRADIPKUMAR DAVE,Insider - Employee,Sell,15,"29,669","1,977.93"
Tech Mahindra Ltd,2/17/2020,Vikas Gupta,Insider - Designated Person,Sell,8,"6,625",828.13
NCL Research and Financial Services Ltd,12/15/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,5,7,1.54
NCL Research and Financial Services Ltd,12/13/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,5,8,1.67
Axis Bank Ltd,6/15/2023,MORGAN STANLEY INSTITUTIONAL FUND INC. COUNTERPOINT GLOBAL PORTFOLIO,Block,Buy,28,"27,104",968.00
Viaan Industries Ltd,12/4/2019,NAYSAA SECURITIES PRIVATE LIMITED,Bulk,Sell,1,3,3.29
Biogen Pharmachem Industries Ltd,7/7/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,6,3,0.56
Mahindra and Mahindra Ltd,1/24/2019,Kinnar Rathod,Insider - Employee,Buy,10,"6,951",695.10
Mahindra and Mahindra Ltd,8/16/2018,Ashok Kumar Singh,Insider - Employee,Sell,10,"9,600",960.00
Larsen & Toubro Ltd,5/3/2017,Surendra Babu P R,Insider - Employee,Sell,13,"22,245","1,711.15"
Larsen & Toubro Ltd,7/18/2016,BHARGAVA MUKESH CMDR,Insider - Employee,Sell,13,"20,566","1,582.00"
Orient Green Power Company Ltd,7/6/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,7,19,2.81
Tata Consultancy Services Ltd,5/18/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,35,"67,126","1,917.89"
Kotak Mahindra Bank Ltd,12/31/2019,Rajiv Thakker,Insider - Employee,Buy,18,"22,878","1,271.00"
Virtual Global Education Ltd,12/27/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,7,1.91
Housing Development Finance Corporation Ltd,8/14/2017,Abhay Kumar Singh,Insider - Employee,Sell,15,"26,072","1,738.13"
Housing Development Finance Corporation Ltd,2/20/2017,Vyas Deepak L,Insider - Employee,Sell,15,"20,910","1,394.00"
Housing Development Finance Corporation Ltd,3/15/2017,Sudha V,Insider - Employee,Sell,15,"21,353","1,423.53"
Housing Development Finance Corporation Ltd,9/6/2016,Uday Sharadrao Patil,Insider - Employee,Sell,15,"21,900","1,460.00"
Housing Development Finance Corporation Ltd,2/6/2017,Aditi Agarwal,Insider - Employee,Sell,15,"21,117","1,407.80"
Housing Development Finance Corporation Ltd,2/6/2017,Mangalam Vijay,Insider - Employee,Sell,15,"20,985","1,399.00"
HDFC Asset Management Company Ltd,9/6/2018,VIJAY SHIVAPPA PRABHU,Insider - Employee,Sell,2,"3,368","1,684.00"
Housing Development Finance Corporation Ltd,12/10/2015,Kikim H Gurung,Insider - Employee,Sell,15,"5,875",391.72
Yes Bank Ltd,9/10/2018,Shiva Lodhi,Insider - Employee,Buy,22,"7,180",326.36
Bajaj Electricals Ltd,9/28/2018,Abhishek Vasudev Singh,Insider - Employee,Sell,1,508,508.00
Avenue Supermarts Ltd,12/5/2017,Mangesh Narayan Ghorpade,Insider - Employee,Sell,6,"6,756","1,126.00"
Avenue Supermarts Ltd,12/4/2017,Mangesh Narayan Ghorpade,Insider - Employee,Buy,6,"6,674","1,112.33"
HDFC Bank Ltd,5/25/2018,Yonus Mangoli,Insider - Employee,Sell,50,"97,500","1,950.00"
HDFC Bank Ltd,3/18/2019,Jignesh Jayantilal Doshi,Insider - Employee,Sell,50,1.12 L,"2,230.00"
Axis Bank Ltd,10/30/2019,Manish Jain,Insider - Other,Buy,25,"14,793",591.72
GV Films Ltd,1/14/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,9,13,1.45
Tata Consultancy Services Ltd,5/27/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,37,"72,462","1,958.43"
HDFC Bank Ltd,3/28/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,50,"70,000","1,400.00"
HDFC Bank Ltd,12/15/2016,Arijit Sarkar,Insider - Employee,Sell,50,"59,000","1,180.00"
HDFC Bank Ltd,12/22/2016,Arijit Sarkar,Insider - Employee,Sell,50,"59,000","1,180.00"
HDFC Bank Ltd,1/30/2017,Shrikant G Sharma,Insider - Employee,Sell,50,"62,500","1,250.00"
HDFC Bank Ltd,3/30/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,50,"70,000","1,400.00"
HDFC Bank Ltd,2/21/2017,Jignesh Jayantilal Doshi,Insider - Employee,Sell,50,"70,000","1,400.00"
HDFC Bank Ltd,12/23/2016,Arijit Sarkar,Insider - Employee,Sell,50,"59,000","1,180.00"
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,6,"8,937","1,489.50"
Bajaj Finance Ltd,3/28/2016,Ankoor S Kulkarni,Insider - Designated Person,Sell,5,"34,431","6,886.20"
Reliance Industries Ltd,10/23/2019,Pankaj Kumar Shrivastava,Insider - Designated Person,Sell,60,"85,199","1,419.98"
Reliance Industries Ltd,2/5/2019,Salil Kumar Mishra,Insider - Other,Sell,60,"78,000","1,300.00"
Housing Development Finance Corporation Ltd,6/19/2017,Kankane Abhishek,Insider - Employee,Sell,16,"26,400","1,650.00"
Andhra Cements Ltd,6/29/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,3,48,16.25
Reliance Home Finance Ltd,8/10/2023,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,Bulk,Buy,5,10,2.10
Infosys Ltd,5/26/2021,Infosys Employee Benefits Trust,Insider - Trust,Buy,44,"60,764","1,381.00"
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,3,"2,078",692.67
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,3,"2,072",690.67
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,3,"2,055",685.00
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,3,"2,069",689.67
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,3,"2,067",689.00
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,3,"2,056",685.33
Axis Bank Ltd,3/31/2017,Lalit Mohan Sharma,Insider - Employee,Sell,25,"12,430",497.20
AJR Infra and Tolling Ltd,5/25/2021,MANSI SHARES & STOCK ADVISORS PVT LTD,Bulk,Buy,10,14,1.40
SBI Cards and Payment Services Ltd,10/27/2020,Mishi Iqbal,Insider - Designated Person,Sell,10,"8,075",807.50
Housing Development Finance Corporation Ltd,3/22/2018,SHUBHADEEP SAHA,Insider - Employee,Sell,17,"31,034","1,825.53"
Larsen & Toubro Ltd,3/7/2018,Elayaraja R,Insider - Employee,Sell,15,6.06 L,"40,403.20"
Housing Development Finance Corporation Ltd,5/15/2018,DEEPAK B,Insider - Employee,Sell,18,"34,938","1,941.00"
Larsen & Toubro Ltd,10/7/2015,Hemant H Jadhav,Insider - Employee,Sell,15,"23,158","1,543.87"
Housing Development Finance Corporation Ltd,8/2/2016,Amruta Amod Pethe,Insider - Designated Person,Sell,17,"23,042","1,355.41"
Indian Infotech and Software Ltd,12/13/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,11,47,4.30
JSW Steel Ltd,11/18/2022,JSW Steel Employees Welfare Trust û OPJ ESOP Plan 2021 A/c PAN: AABTJ3861D Regd. Add.: Dr. G. Deshmukh Marg 5/A Mumbai - 400026 Contact No.: 022-42861000,Insider - Other,Sell,33,"23,268",705.09
Yes Bank Ltd,5/25/2017,Yogesh Budhiraja,Insider - Employee,Sell,25,"37,279","1,491.16"
Yes Bank Ltd,6/13/2017,Yogesh Budhiraja,Insider - Employee,Sell,25,"37,452","1,498.08"
ICICI Lombard General Insurance Company Ltd,8/10/2020,AMITABH JAIN,Insider - Designated Person,Sell,5,"7,020","1,404.00"
ICICI Lombard General Insurance Company Ltd,2/19/2019,AMITABH JAIN Revised,Insider - Designated Person,Buy,5,"4,590",918.00
Divi's Laboratories Ltd,10/15/2020,Veeranjaneyulu Gudivada,Insider - Designated Person,Sell,3,"9,243","3,081.00"
Divi's Laboratories Ltd,10/15/2020,Veeranjaneyulu Gudivada,Insider - Designated Person,Buy,3,"9,228","3,076.00"
Tata Consultancy Services Ltd,5/19/2021,Krishnan Ramanujam,Insider - Designated Person,Sell,42,1.31 L,"3,115.60"
ITC Ltd,1/4/2019,HARIT SHROFF,Insider - Employee,Sell,140,"39,522",282.30
ITC Ltd,7/23/2018,R. RAJASEKHAR,Insider - Employee,Sell,140,"39,801",284.29
Tech Mahindra Ltd,6/15/2020,Bhupathi Raju L,Insider - Designated Person,Sell,10,"5,495",549.50
Larsen & Toubro Ltd,7/14/2015,Hemant H Jadhav,Insider - Employee,Sell,16,"29,824","1,864.00"
Housing Development Finance Corporation Ltd,6/9/2020,SANKET SUHAS KOLHATKAR,Insider - Designated Person,Sell,20,"36,400","1,820.00"
Housing Development Finance Corporation Ltd,12/1/2020,GUPTA DIPTA BHANU,Insider - Designated Person,Sell,20,"46,120","2,306.00"
HDFC Bank Ltd,3/18/2019,P Shreekanth,Insider - Employee,Sell,60,1.34 L,"2,230.00"
Burnpur Cement Ltd,10/10/2016,GOUTAM CHORARIA,Bulk,Sell,1,15,15.75
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,7,"10,429","1,489.86"
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,7,"10,427","1,489.57"
Colorchips New Media Ltd,8/22/2023,BP EQUITIES PVT. LTD.,Bulk,Sell,1,6,6.82
Infosys Ltd,2/19/2021,Infosys Employee Benefits Trust,Insider - Designated Person,Buy,50,"64,650","1,293.00"
Reliance Capital Ltd,3/12/2021,HSQUARE GLOBETRADE LLP,Bulk,Sell,3,41,13.90
Bharat Road Network Ltd,6/22/2018,AYODHYA GORAKHPUR SMS TOLLS PRIVATE LIMITED,Bulk,Sell,1,167,167.00
Housing Development Finance Corporation Ltd,5/9/2018,SANJIV KUMAR SINHA,Insider - Employee,Sell,20,"37,960","1,898.00"
Housing Development Finance Corporation Ltd,5/15/2018,UTKARSH MACHHINDRA DEOKAR,Insider - Employee,Sell,20,"38,820","1,941.00"
Housing Development Finance Corporation Ltd,6/20/2018,ROY HIRANMOY,Insider - Employee,Sell,20,"36,392","1,819.60"
Housing Development Finance Corporation Ltd,11/6/2018,ADITI DONGARE,Insider - Employee,Sell,20,"36,051","1,802.55"
Housing Development Finance Corporation Ltd,12/12/2018,UDAY SHARADRAO PATIL,Insider - Employee,Sell,20,"38,930","1,946.50"
Housing Development Finance Corporation Ltd,5/14/2018,DEEPAK B,Insider - Employee,Sell,20,"38,600","1,930.00"
Housing Development Finance Corporation Ltd,3/12/2019,RAJE ASHISH ARVIND,Insider - Employee,Sell,20,"38,080","1,904.00"
Housing Development Finance Corporation Ltd,11/21/2018,ADITI AGARWAL,Insider - Employee,Sell,20,"37,680","1,884.00"
Housing Development Finance Corporation Ltd,3/19/2019,GOWTAM KANNURI,Insider - Employee,Sell,20,"39,460","1,973.00"
Housing Development Finance Corporation Ltd,5/3/2018,ARADHANA UPADHYAY,Insider - Immediate Relative,Buy,20,"38,498","1,924.90"
Housing Development Finance Corporation Ltd,9/4/2018,JOSHI MAYUR G,Insider - Employee,Sell,20,"38,926","1,946.30"
Housing Development Finance Corporation Ltd,11/21/2018,ADITI AGARWAL,Insider - Employee,Sell,20,"37,600","1,880.00"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,20,"39,383","1,969.15"
Housing Development Finance Corporation Ltd,2/21/2019,JITENDRA SAI KOMMINENI,Insider - Employee,Sell,20,"37,498","1,874.90"
Housing Development Finance Corporation Ltd,3/20/2019,GOWTAM KANNURI,Insider - Employee,Sell,20,"39,640","1,982.00"
Housing Development Finance Corporation Ltd,11/30/2018,RADHAYYA S M,Insider - Employee,Sell,20,"39,933","1,996.65"
Housing Development Finance Corporation Ltd,12/3/2018,UDAY SHARADRAO PATIL,Insider - Employee,Sell,20,"40,291","2,014.55"
Housing Development Finance Corporation Ltd,12/6/2017,Hari Shankar Prasad,Insider - Employee,Sell,19,"31,322","1,648.53"
Chambal Fertilisers and Chemicals Ltd,5/18/2017,Raj Kumar Khunteta,Insider - Employee,Sell,5,585,117.00
Larsen & Toubro Ltd,3/22/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,17,"37,724","2,219.06"
Srestha Finvest Ltd,1/13/2022,RAJESH KHANDWE,Bulk,Buy,1,2,2.27
Panafic Industrials Ltd,12/20/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,1,1,1.68
Biogen Pharmachem Industries Ltd,8/18/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,8,6,0.81
Biogen Pharmachem Industries Ltd,7/29/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,8,8,1.04
ITC Ltd,4/11/2018,ANMOL SINGH GREWAL,Insider - Employee,Sell,150,"39,713",264.75
ITC Ltd,8/21/2018,GANESH GOPAL,Insider - Employee,Sell,150,"46,915",312.77
ITC Ltd,3/8/2019,D. JOHN ROBERT,Insider - Employee,Sell,150,"43,826",292.17
Pmc Fincorp Ltd,1/16/2018,BP FINTRADE PRIVATE LIMITED,Bulk,Buy,6,3,0.65
HDFC Life Insurance Company Ltd,5/18/2018,SHWETA KHATTRI,Insider - Employees Immediate Relative,Buy,25,"12,271",490.84
Relaxo Footwears Ltd,1/7/2019,Vinay Kumar Bajaj,Insider - Employee,Sell,3,"2,253",751.00
Sterlite Technologies Ltd,11/21/2018,Nikhil Puri,Insider - Employee,Buy,5,"1,713",342.60
Sterlite Technologies Ltd,10/22/2018,Mr. Nikhil Puri,Insider - Employee,Buy,5,"1,626",325.20
Sterlite Technologies Ltd,10/30/2018,Abhinav Srivastava,Insider - Employee,Buy,5,"1,918",383.60
Reliance Industries Ltd,6/11/2020,S Rajagopal,Insider - Designated Person,Buy,80,"25,140",314.25
Tata Consultancy Services Ltd,5/15/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,47,"88,221","1,877.04"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,21,"41,352","1,969.14"
Housing Development Finance Corporation Ltd,8/29/2017,Sanjiv Kumar Sinha,Insider - Employee,Sell,20,"34,880","1,744.00"
Housing Development Finance Corporation Ltd,11/28/2017,Viswanath Chandrasekar Iyer,Insider - Employee,Sell,20,"34,639","1,731.95"
Housing Development Finance Corporation Ltd,12/27/2017,Sanjiv Kumar Sinha,Insider - Employee,Sell,20,"34,121","1,706.05"
Housing Development Finance Corporation Ltd,3/22/2018,Deepak B,Insider - Employee,Sell,20,"36,700","1,835.00"
Housing Development Finance Corporation Ltd,2/14/2018,Uday Sharadrao Patil,Insider - Employee,Sell,20,"36,580","1,829.00"
Housing Development Finance Corporation Ltd,3/8/2018,ADITI DONGARE,Insider - Employee,Sell,20,"35,697","1,784.85"
Housing Development Finance Corporation Ltd,3/26/2018,Deepak B,Insider - Employee,Sell,20,"36,500","1,825.00"
Housing Development Finance Corporation Ltd,6/23/2017,Kankane Abhishek,Insider - Employee,Sell,20,"33,102","1,655.10"
Housing Development Finance Corporation Ltd,9/8/2017,Sudipto Kumar Das,Insider - Employee,Sell,20,"35,656","1,782.80"
Housing Development Finance Corporation Ltd,11/21/2017,SANJIV KUMAR SINHA,Insider - Employee,Sell,20,"33,940","1,697.00"
Housing Development Finance Corporation Ltd,2/20/2018,RITU SHARMA,Insider - Employee,Sell,20,"36,533","1,826.65"
Housing Development Finance Corporation Ltd,5/29/2017,Gaurav Narang,Insider - Employee,Sell,20,"32,000","1,600.00"
Housing Development Finance Corporation Ltd,2/12/2018,HARSHIL NAYAN PARIKH,Insider - Employee,Sell,20,"36,510","1,825.50"
Housing Development Finance Corporation Ltd,11/3/2017,Uday Sharadrao Patil,Insider - Employee,Sell,20,"35,800","1,790.00"
Housing Development Finance Corporation Ltd,12/5/2017,Paul Santiswarup,Insider - Employee,Sell,20,"33,428","1,671.40"
Housing Development Finance Corporation Ltd,2/12/2018,HARSHIL NAYAN PARIKH,Insider - Employee,Sell,20,"36,030","1,801.50"
Persistent Systems Ltd,2/12/2020,Rama-Purushottam Foundation,Insider - Promoter Group,Sell,1,701,701.00
Housing Development Finance Corporation Ltd,2/6/2017,Shameer Attupurathu Siddique,Insider - Employee,Sell,20,"28,036","1,401.80"
Housing Development Finance Corporation Ltd,2/2/2017,Aditi Agarwal,Insider - Employee,Sell,20,"28,000","1,400.00"
Housing Development Finance Corporation Ltd,3/16/2017,Payal Tukaram Sawarikar,Insider - Employee,Sell,20,"28,924","1,446.20"
Housing Development Finance Corporation Ltd,3/20/2017,Deepak B,Insider - Employee,Sell,20,"29,240","1,462.00"
Housing Development Finance Corporation Ltd,2/22/2017,Purnima Vibhandik,Insider - Employee,Sell,20,"28,211","1,410.55"
Housing Development Finance Corporation Ltd,3/6/2017,Babu Baskar,Insider - Employee,Sell,20,"27,291","1,364.55"
Housing Development Finance Corporation Ltd,3/29/2017,Deepak B,Insider - Employee,Sell,20,"30,200","1,510.00"
Housing Development Finance Corporation Ltd,8/12/2016,Gurpreet Singh Arora,Insider - Employee,Sell,20,"27,546","1,377.30"
Housing Development Finance Corporation Ltd,2/17/2017,Naveen Sharma,Insider - Employee,Sell,20,"28,331","1,416.55"
Housing Development Finance Corporation Ltd,9/2/2016,Gajananprasad Ratnakar Anekar,Insider - Employee,Sell,20,"28,730","1,436.50"
Housing Development Finance Corporation Ltd,12/23/2016,Jitendra Kumar Jaiswal,Insider - Employee,Buy,20,6.36 L,"31,775.00"
Housing Development Finance Corporation Ltd,2/7/2017,Rahul Ramchandra Rane,Insider - Employee,Sell,20,"28,000","1,400.00"
Housing Development Finance Corporation Ltd,3/17/2017,Deepak B,Insider - Employee,Sell,20,"29,060","1,453.00"
Housing Development Finance Corporation Ltd,3/27/2017,Deepak B,Insider - Employee,Sell,20,"29,360","1,468.00"
Mahindra and Mahindra Ltd,2/17/2016,Anil Jagga,Insider - Employee,Sell,15,"17,982","1,198.81"
Tata Consultancy Services Ltd,1/29/2018,Nitya Jain,Insider - Designated Person,Sell,50,1.60 L,"3,198.48"
Tata Consultancy Services Ltd,1/31/2018,Rohit Kumar Jain Spouse,Insider - Immediate Relative,Sell,50,1.55 L,"3,109.82"
Tata Consultancy Services Ltd,1/22/2018,Rohit Kumar Jain,Insider - Immediate Relative,Sell,50,1.51 L,"3,016.30"
Housing Development Finance Corporation Ltd,12/30/2015,Daniel Peter Anthony,Insider - Designated Person,Sell,20,"24,800","1,240.00"
Housing Development Finance Corporation Ltd,3/8/2016,Shantanu Dilip Khokale,Insider - Designated Person,Sell,20,"22,800","1,140.00"
HDFC Bank Ltd,8/1/2016,Aparna Kumar,Insider - Employee,Sell,65,1.16 L,"1,790.00"
Larsen & Toubro Ltd,10/8/2015,Hemant H Jadhav,Insider - Employee,Sell,18,"27,424","1,523.56"
Samvardhana Motherson International Ltd,11/1/2018,LAKSH VAAMAN SEHGAL,Insider - Promoter & Director,Buy,41,"7,116",173.56
Yes Bank Ltd,9/11/2018,Shiva Lodhi,Insider - Employee,Buy,30,"9,469",315.63
Kotak Mahindra Bank Ltd,6/8/2020,Pavan Manchala,Insider - Employee,Sell,25,"33,838","1,353.52"
HDFC Bank Ltd,6/13/2017,Sunil Gupta,Insider - Employee,Sell,67,1.08 L,"1,610.00"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,22,"43,321","1,969.14"
Cressanda Solutions Ltd,1/3/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,27,6.79
Indusind Bank Ltd,2/13/2019,SUNDAR RAJA MANI,Insider - Employee,Sell,8,"11,916","1,489.50"
Zensar Technologies Ltd,11/20/2017,Pushpall Kapadia,Insider - Employee,Sell,3,"2,654",884.99
Larsen & Toubro Ltd,3/22/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,19,"42,165","2,219.21"
Mahindra and Mahindra Ltd,2/15/2016,Anil Jagga,Insider - Employee,Sell,16,"18,806","1,175.44"
Axis Bank Ltd,2/28/2020,United India Insurance Company Limited,Insider - Promoter,Buy,35,"24,454",698.69
MIC Electronics Ltd,1/17/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,3,96,32.25
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,23,"44,011","1,913.52"
Bajaj Auto Ltd,2/6/2023,Zanzari Kailash J,Insider - Designated Person,Sell,4,"15,416","3,854.00"
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,4,"2,740",685.00
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,4,"2,753",688.25
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,4,"2,741",685.25
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,4,"2,769",692.25
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,4,"2,745",686.25
Varun Beverages Ltd,6/26/2020,DEVYANI JAIPURIA,Insider - Promoter Group,Sell,4,"2,758",689.50
Varun Beverages Ltd,6/26/2020,RAVI KANT JAIPURIA AND SONS HUF,Insider - Promoter,Sell,4,"2,753",688.25
Tata Consultancy Services Ltd,5/29/2020,Sukanya Lakshminarayanan,Insider - Designated Person,Buy,52,1.03 L,"1,980.06"
Housing Development Finance Corporation Ltd,8/9/2021,SHETTY SATISH,Insider - Designated Person,Sell,25,"65,375","2,615.00"
Housing Development Finance Corporation Ltd,2/7/2017,Shibu S.B.,Insider - Employee,Sell,22,"30,960","1,407.27"
Housing Development Finance Corporation Ltd,2/15/2017,Krishnaprem Nehalbhai Thakker,Insider - Employee,Sell,22,"30,776","1,398.91"
Housing Development Finance Corporation Ltd,3/15/2017,Sudha V,Insider - Employee,Sell,22,"31,312","1,423.27"
ITC Ltd,11/20/2018,D.V.R. RAJIV MOHAN,Insider - Employee,Sell,170,"48,586",285.80
CRISIL Ltd,11/8/2017,Reena Rodrigues,Insider - Employee,Sell,1,"1,820","1,820.00"
Tata Consultancy Services Ltd,11/4/2020,Arun Kumar Malik,Insider - Immediate Relative,Buy,53,1.43 L,"2,698.96"
HDFC Asset Management Company Ltd,9/4/2018,RAJBIR SINGH,Insider - Employee,Sell,3,"5,277","1,759.00"
HDFC Asset Management Company Ltd,9/6/2018,VIJAY SHIVAPPA PRABHU,Insider - Employee,Sell,3,"5,051","1,683.67"
HDFC Asset Management Company Ltd,9/10/2018,KUMAR RITESH,Insider - Employee,Sell,3,"4,980","1,660.00"
Larsen & Toubro Ltd,10/1/2018,GAGANDEEP KAUR,Insider - Immediate Relative,Buy,20,"24,700","1,235.00"
Larsen & Toubro Ltd,12/18/2018,KUMARESAN T,Insider - Designated Person,Sell,20,"28,436","1,421.80"
Larsen & Toubro Ltd,10/9/2018,GAGANDEEP KAUR,Insider - Immediate Relative,Buy,20,"24,595","1,229.75"
Swasti Vinayaka Synthetics Ltd,2/17/2021,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,8,8.50
Vikas Ecotech Ltd,8/20/2020,ALPHA LEON ENTERPRISES LLP,Bulk,Buy,4,43,10.81
Larsen & Toubro Ltd,7/26/2016,BHARGAVA MUKESH CMDR,Insider - Employee,Sell,20,"31,621","1,581.05"
Larsen & Toubro Ltd,4/20/2016,Hemant H Jadhav,Insider - Employee,Sell,20,"25,118","1,255.90"
